restaurant_id,product_name,product_unit_price,bought_product_quantity,date,category,product_key,is_zero_quantity
49,Tarrina Ben & Jerry's Cookie Dough (100ml.),2.95,1.0,2022-10-04,dessert,tarrina ben & jerry's cookie dough (100ml.),False
49,Tarrina Ben & Jerry's Cookie Dough (100ml.),2.95,1.0,2022-10-18,dessert,tarrina ben & jerry's cookie dough (100ml.),False
49,Tarrina Ben & Jerry's Cookie Dough (100ml.),2.95,1.0,2022-11-06,dessert,tarrina ben & jerry's cookie dough (100ml.),False
49,Tarrina Ben & Jerry's Cookie Dough (100ml.),2.95,1.0,2022-11-10,dessert,tarrina ben & jerry's cookie dough (100ml.),False
49,Tarrina Ben & Jerry's Cookie Dough (100ml.),2.95,1.0,2022-11-10,dessert,tarrina ben & jerry's cookie dough (100ml.),False
49,Tarrina Ben & Jerry's Cookie Dough (100ml.),2.95,1.0,2022-11-13,dessert,tarrina ben & jerry's cookie dough (100ml.),False
49,Agua (50 cl.),1.95,1.0,2022-10-07,drink,agua (50 cl.),False
49,Agua (50 cl.),1.95,2.0,2022-10-13,drink,agua (50 cl.),False
49,Agua (50 cl.),1.95,2.0,2022-10-10,drink,agua (50 cl.),False
49,Agua (50 cl.),1.95,1.0,2022-10-11,drink,agua (50 cl.),False
49,Agua (50 cl.),1.95,2.0,2022-10-15,drink,agua (50 cl.),False
49,Agua (50 cl.),1.95,1.0,2022-10-22,drink,agua (50 cl.),False
49,Agua (50 cl.),1.95,1.0,2022-10-23,drink,agua (50 cl.),False
49,Agua (50 cl.),1.95,2.0,2022-10-31,drink,agua (50 cl.),False
49,Agua (50 cl.),1.95,1.0,2022-11-11,drink,agua (50 cl.),False
49,Agua (50 cl.),1.95,1.0,2022-11-14,drink,agua (50 cl.),False
49,Agua (50 cl.),1.95,2.0,2022-11-26,drink,agua (50 cl.),False
49,Agua (50 cl.),1.95,1.0,2022-11-25,drink,agua (50 cl.),False
49,Alitas BBQ (4 uds.),2.6,1.0,2022-10-04,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.6,1.0,2022-10-04,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.6,1.0,2022-10-07,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.6,1.0,2022-10-16,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.6,1.0,2022-10-12,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.6,1.0,2022-10-23,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.6,1.0,2022-10-20,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.6,1.0,2022-10-23,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.6,1.0,2022-10-28,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.6,1.0,2022-11-04,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.6,1.0,2022-11-06,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-10,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-13,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-10,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-13,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-08,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-20,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-19,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-14,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-18,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-18,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-16,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-17,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-27,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-21,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (4 uds.),2.95,1.0,2022-11-25,appetizer,alitas bbq (4 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-10-05,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-10-04,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-10-05,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-10-12,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-10-12,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-10-16,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-10-13,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-10-20,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-10-23,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-10-18,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-10-24,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-10-29,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-10-30,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,2.0,2022-11-04,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-11-05,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-11-06,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-11-13,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-11-12,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-11-16,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-11-19,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-11-15,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-11-15,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-11-14,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-11-25,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-11-27,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-11-23,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-11-24,appetizer,alitas bbq (8 uds.),False
49,Alitas BBQ (8 uds.),3.9,1.0,2022-11-24,appetizer,alitas bbq (8 uds.),False
49,Aquarade Limon Lata (33 cl.),2.4,1.0,2022-10-17,drink,aquarade limon lata (33 cl.),False
49,Breton,7.15,1.0,2022-10-04,uncertain,breton,False
49,Breton,7.15,1.0,2022-10-12,uncertain,breton,False
49,Breton,7.15,1.0,2022-10-17,uncertain,breton,False
49,Breton,7.15,1.0,2022-10-29,uncertain,breton,False
49,Breton,7.15,2.0,2022-11-06,uncertain,breton,False
49,Breton,7.5,1.0,2022-11-10,uncertain,breton,False
49,Breton,7.5,1.0,2022-11-08,uncertain,breton,False
49,Breton,7.5,1.0,2022-11-15,uncertain,breton,False
49,Breton,7.5,1.0,2022-11-16,uncertain,breton,False
49,Breton,7.5,1.0,2022-11-27,uncertain,breton,False
49,British Bacon,6.15,1.0,2022-10-05,uncertain,british bacon,False
