restaurant_id,date,price_index,component_id,anchor,n_obs
1,2022-10-04,11.252173913043482,0,entree_mean,4
1,2022-10-05,11.252173913043432,0,entree_mean,4
1,2022-10-06,11.252173913043523,0,entree_mean,7
1,2022-10-07,11.2521739130435,0,entree_mean,19
1,2022-10-08,11.252173913043551,0,entree_mean,20
1,2022-10-09,11.252173913043489,0,entree_mean,16
1,2022-10-11,11.252173913043475,0,entree_mean,6
1,2022-10-12,11.25217391304347,0,entree_mean,16
1,2022-10-13,11.252173913043526,0,entree_mean,5
1,2022-10-14,11.252173913043523,0,entree_mean,25
1,2022-10-15,11.252173913043475,0,entree_mean,11
1,2022-10-16,11.252173913043508,0,entree_mean,10
1,2022-10-18,11.252173913043542,0,entree_mean,12
1,2022-10-19,11.252173913043462,0,entree_mean,8
1,2022-10-20,11.252173913043462,0,entree_mean,15
1,2022-10-21,11.252173913043476,0,entree_mean,10
1,2022-10-22,11.252173913043526,0,entree_mean,16
1,2022-10-23,11.25217391304353,0,entree_mean,21
1,2022-10-25,11.252173913043542,0,entree_mean,2
1,2022-10-26,11.252173913043531,0,entree_mean,8
1,2022-10-27,11.252173913043496,0,entree_mean,5
1,2022-10-28,11.252173913043455,0,entree_mean,19
1,2022-10-29,11.252173913043489,0,entree_mean,13
1,2022-10-30,11.252173913043496,0,entree_mean,10
1,2022-11-01,11.252173913043505,0,entree_mean,12
1,2022-11-02,11.252173913043551,0,entree_mean,3
1,2022-11-03,11.2521739130435,0,entree_mean,9
1,2022-11-04,11.252173913043471,0,entree_mean,15
1,2022-11-05,11.252173913043487,0,entree_mean,25
1,2022-11-06,11.252173913043501,0,entree_mean,13
1,2022-11-08,11.252173913043507,0,entree_mean,12
1,2022-11-09,11.252173913043471,0,entree_mean,2
1,2022-11-10,11.252173913043512,0,entree_mean,7
1,2022-11-11,11.252173913043505,0,entree_mean,16
1,2022-11-12,11.252173913043496,0,entree_mean,22
1,2022-11-13,11.252173913043487,0,entree_mean,17
1,2022-11-15,11.252173913043517,0,entree_mean,4
1,2022-11-16,11.252173913043501,0,entree_mean,6
1,2022-11-17,11.252173913043501,0,entree_mean,5
1,2022-11-18,11.252173913043526,0,entree_mean,17
1,2022-11-19,11.252173913043517,0,entree_mean,12
1,2022-11-20,11.252173913043505,0,entree_mean,13
1,2022-11-22,11.252173913043414,0,entree_mean,10
1,2022-11-23,11.252173913043535,0,entree_mean,5
1,2022-11-24,11.252173913043512,0,entree_mean,3
1,2022-11-25,11.252173913043496,0,entree_mean,17
1,2022-11-26,11.25217391304348,0,entree_mean,13
1,2022-11-27,11.252173913043487,0,entree_mean,37
2,2022-10-04,7.177490806279283,0,entree_mean,2
2,2022-10-05,7.2218962366361845,0,entree_mean,5
2,2022-10-06,7.178731638838002,0,entree_mean,4
2,2022-10-07,7.213495365741107,0,entree_mean,11
2,2022-10-08,7.160235276081346,0,entree_mean,5
2,2022-10-09,7.1517951872930725,0,entree_mean,11
2,2022-10-11,7.193157608559632,0,entree_mean,11
2,2022-10-12,7.213745983032767,0,entree_mean,20
2,2022-10-14,7.230543858832511,0,entree_mean,7
