restaurant_id,product_name,product_key,category,size,component_id,anchor,n_obs
1,Agua,agua,drink,0.13330757341576505,0,entree_mean,7
1,"Amstel 0,33L","amstel 0,33l",drink,0.22217928902627493,0,entree_mean,5
1,Calzoni classico,calzoni classico,entree,0.9598145285935074,0,entree_mean,6
1,Calzoni diavola,calzoni diavola,entree,0.9598145285935006,0,entree_mean,2
1,Calzoni noci,calzoni noci,appetizer,1.1464451313755615,0,entree_mean,1
1,Calzoni ortolano,calzoni ortolano,entree,1.0486862442040379,0,entree_mean,1
1,Coca cola,coca cola,drink,0.17774343122101982,0,entree_mean,14
1,Coca cola Zero,coca cola zero,drink,0.17774343122101946,0,entree_mean,16
1,Combo tiramisu',combo tiramisu',dessert,1.3241885625965961,0,entree_mean,13
1,Fanta Limón,fanta limón,drink,0.17774343122101896,0,entree_mean,2
1,Fanta Naranja,fanta naranja,drink,0.17774343122101943,0,entree_mean,3
1,Menu' para 2,menu' para 2,uncertain,2.0351622874806785,0,entree_mean,22
1,Mundial en pareja,mundial en pareja,uncertain,2.2129057187017223,0,entree_mean,2
1,Mundial entre amigos,mundial entre amigos,uncertain,4.612442040185454,0,entree_mean,1
1,Nestea Limon,nestea limon,drink,0.17774343122101882,0,entree_mean,2
1,Pizza 4 formaggi (30 Cm.),pizza 4 formaggi (30 cm.),entree,0.8798299845440481,0,entree_mean,33
1,Pizza 4 stagioni (30 Cm.),pizza 4 stagioni (30 cm.),entree,1.0664605873261168,0,entree_mean,8
1,Pizza al tonno (30 Cm.),pizza al tonno (30 cm.),entree,0.96870170015456,0,entree_mean,6
1,Pizza amatriciana (30 Cm.),pizza amatriciana (30 cm.),entree,0.8798299845440457,0,entree_mean,11
1,Pizza Barbacoa (30 Cm.),pizza barbacoa (30 cm.),entree,0.8798299845440476,0,entree_mean,13
1,Pizza boscaiola (30 Cm.),pizza boscaiola (30 cm.),entree,0.9687017001545566,0,entree_mean,10
1,Pizza carbonara (30 Cm.),pizza carbonara (30 cm.),entree,0.9687017001545578,0,entree_mean,14
1,Pizza carnívora (30 Cm.),pizza carnívora (30 cm.),entree,1.0664605873261226,0,entree_mean,13
1,Pizza con crudo (30 Cm.),pizza con crudo (30 cm.),entree,0.879829984544055,0,entree_mean,4
1,Pizza con funghi prosciutto (30 Cm.),pizza con funghi prosciutto (30 cm.),entree,0.968701700154557,0,entree_mean,16
1,Pizza con nutella,pizza con nutella,dessert,0.7554095826893316,0,entree_mean,5
1,Pizza con pepperoni (30 Cm.),pizza con pepperoni (30 cm.),entree,0.8798299845440481,0,entree_mean,90
1,Pizza cotto (30 Cm.),pizza cotto (30 cm.),uncertain,0.8798299845440539,0,entree_mean,59
1,Pizza cremosa (30 Cm.),pizza cremosa (30 cm.),entree,1.0575734157650636,0,entree_mean,3
1,Pizza Focaccia (30 Cm.),pizza focaccia (30 cm.),uncertain,0.5332302936630571,0,entree_mean,2
1,Pizza Gustosa (30 Cm.),pizza gustosa (30 cm.),uncertain,1.2886398763523919,0,entree_mean,3
1,Pizza Margherita (30 Cm.),pizza margherita (30 cm.),entree,0.7909582689335417,0,entree_mean,62
1,Pizza montagnola (30 Cm.),pizza montagnola (30 cm.),entree,1.0575734157650682,0,entree_mean,13
1,Pizza napoletana (30 Cm.),pizza napoletana (30 cm.),entree,0.9687017001545588,0,entree_mean,10
1,Pizza parmigiana (30 Cm.),pizza parmigiana (30 cm.),entree,0.9687017001545566,0,entree_mean,21
1,Pizza Saporita (30 Cm.),pizza saporita (30 cm.),entree,1.3775115919629175,0,entree_mean,1
1,Pizza Stenfia (30 Cm.),pizza stenfia (30 cm.),entree,1.2886398763523925,0,entree_mean,5
1,Pizza tartufata (30 Cm.),pizza tartufata (30 cm.),uncertain,0.9687017001545553,0,entree_mean,54
1,Pizza Tricolore (30 Cm.),pizza tricolore (30 cm.),entree,1.1464451313755768,0,entree_mean,6
1,Pizza vegana (30 Cm.),pizza vegana (30 cm.),uncertain,1.0575734157650656,0,entree_mean,6
1,Pizza verdure (30 Cm.),pizza verdure (30 cm.),entree,0.9687017001545578,0,entree_mean,4
1,Tiramisú,tiramisú,dessert,0.44435857805254886,0,entree_mean,8
2,Agua (1 lt.),agua (1 lt.),drink,0.20350221276117658,0,entree_mean,2
2,Agua (500 ml.),agua (500 ml.),drink,0.13952388379552705,0,entree_mean,2
2,Arancino 4 quesos,arancino 4 quesos,side,0.37425584314573984,0,entree_mean,7
2,Arancino boloñesa,arancino boloñesa,uncertain,0.36814176787694547,0,entree_mean,7
2,Arancino york y queso,arancino york y queso,appetizer,0.37383607920807177,0,entree_mean,10
2,Botes,botes,uncertain,0.20794300052415984,0,entree_mean,1
2,Cerveza (1 lt.),cerveza (1 lt.),drink,0.34624581885269523,0,entree_mean,3
2,Coca-Cola Sabor Original botella 2L.,coca-cola sabor original botella 2l.,drink,0.33837426140047594,0,entree_mean,11
2,Crepes de nutella,crepes de nutella,dessert,0.3830599730400047,0,entree_mean,14
2,Lasaña de boloñesa,lasaña de boloñesa,entree,0.6677151119248075,0,entree_mean,1
2,Menú 1,menú 1,uncertain,1.385722606312287,0,entree_mean,18
2,Menú 2,menú 2,uncertain,2.911377810381976,0,entree_mean,1
2,Muffin con corazòn de chocolate,muffin con corazòn de chocolate,dessert,0.387979108133824,0,entree_mean,2
2,Nuggets (6 uds.),nuggets (6 uds.),appetizer,0.41279074773017266,0,entree_mean,17
2,Palito de queso (6 uds.),palito de queso (6 uds.),appetizer,0.47868546328981254,0,entree_mean,19
2,Patatas frita,patatas frita,side,0.34698884335607943,0,entree_mean,6
2,Patatas raciòn grande,patatas raciòn grande,side,0.3402029602509392,0,entree_mean,11
2,Patatas raciòn pequeña,patatas raciòn pequeña,side,0.20433009847387773,0,entree_mean,13
2,Pizza 4 gusti,pizza 4 gusti,entree,1.1085298863162822,0,entree_mean,2
2,Pizza amatriciana,pizza amatriciana,entree,1.1799245766541564,0,entree_mean,1
2,Pizza barbacoa,pizza barbacoa,entree,1.0437955052329624,0,entree_mean,11
2,Pizza cabonara,pizza cabonara,uncertain,1.1108676084642295,0,entree_mean,11
2,Pizza carbonara,pizza carbonara,uncertain,1.116972688729998,0,entree_mean,3
2,Pizza carbonara a la romana,pizza carbonara a la romana,entree,1.1846219208659146,0,entree_mean,2
2,Pizza casa nostra,pizza casa nostra,entree,1.1161441029778916,0,entree_mean,4
