pi,mu1,sigma1,mu2,sigma2,loglik,converged,n_iterations,floor_hit,start_id,reached_best
0.24605297777899773,1.9034271840378065,0.6846768477451877,5.043617719017511,1.9898811468001305,-21602.359719105923,True,17,False,0,False
0.9116336754962288,3.8594247705703797,1.8652015473357122,8.51657903991004,0.3577903809014402,-21521.39510739585,True,20,False,1,True
0.24606972864605992,1.9034370817389539,0.6846828991076008,5.043681903875538,1.989858870771411,-21602.35972101964,True,43,False,2,False
0.9116371729296705,3.8594465690321242,1.8651876820472686,8.516571655904462,0.357785621528606,-21521.39510596124,True,29,False,3,True
0.24605788483600463,1.9034304920131822,0.6846832042214925,5.043635193651464,1.9898771558087354,-21602.359719172124,True,15,False,4,False
0.24605017488643108,1.9034264182204244,0.6846721978736217,5.043607638117761,1.9898924104412823,-21602.3597191901,True,32,False,5,False
0.246053645262403,1.9034274906754245,0.6846754508645845,5.043618037074424,1.9898834821943268,-21602.359719078442,True,29,False,6,False
0.24605651385238814,1.903439296101495,0.6846720159177004,5.043624457000194,1.9898891260806635,-21602.359719440035,True,22,False,7,False
0.24605123494901926,1.903430653056616,0.68466901598782,5.0436103494539015,1.9898890827526803,-21602.359719196287,True,19,False,8,False
0.2460546872054199,1.9034282723954505,0.6846756342942348,5.043620709442226,1.9898816915032123,-21602.359719083444,True,18,False,9,False
0.24605185777669503,1.9034215020258798,0.684675295075104,5.043613919082097,1.9898830642821705,-21602.359719151784,True,34,False,10,False
0.999984314740135,4.270872369766845,2.2202995449169536,4.294237656821131,1.2937042897559423,-22166.07661179991,True,25,False,11,False
0.24605287083382932,1.9034269484193234,0.6846696644296667,5.043604157146183,1.9898886733645123,-21602.359719215325,True,27,False,12,False
0.2460541672036799,1.9034294264928258,0.6846754555167348,5.043617761525249,1.9898846568448192,-21602.35971908568,True,24,False,13,False
0.24605408890457306,1.903428063713112,0.6846762476951131,5.043620508829312,1.9898823357407376,-21602.35971907754,True,25,False,14,False
0.24605323069184,1.90343483967305,0.6846776696034605,5.043620500787772,1.9898862619467201,-21602.35971915705,True,41,False,15,False
0.2460523832920959,1.90342070221383,0.6846732884686006,5.043613456363954,1.9898893530216901,-21602.359719174616,True,24,False,16,False
0.24605351898535077,1.9034300510339268,0.6846788792052525,5.043613211203126,1.9898885877480212,-21602.3597191509,True,24,False,17,False
0.24605855772352309,1.9034241844138802,0.6846988560983137,5.043618133804073,1.9898782888429591,-21602.359720266737,True,47,False,18,False
0.24605223023027867,1.9034251672136187,0.684686819926341,5.043622796855192,1.989881705581818,-21602.35971947598,True,41,False,19,False
0.2460490225634751,1.903428921062176,0.6846669981535839,5.043608461772566,1.989897824520482,-21602.35971938093,True,19,False,20,False
0.9852200926574357,4.254674045454016,2.2326215264256533,5.358287617779679,0.2956306317167361,-22161.258059893844,True,26,False,21,False
0.24606241785609212,1.9035060316727748,0.6846953407265591,5.043655754237467,1.9898681171829626,-21602.35972568523,True,21,False,22,False
0.24605190749470696,1.903415214500199,0.6846684748473514,5.043621074378079,1.989888499249287,-21602.359719350516,True,23,False,23,False
0.24605621230979788,1.903420076795522,0.6846697849285825,5.043613157670899,1.9898789784871216,-21602.359719419117,True,20,False,24,False
