cpc_subclass,grant_year,mean_novelty,mean_value,sd_value,patent_count,CV,ln_mean_value,ln_sd_value
A01B,2021,0.6199773708336149,14.897723390335472,9.037032772518025,74,0.606604951356566,2.7661759159767527,2.3062815299970034
A01B,2022,0.6431509903127097,17.5041834804328,30.06397859336063,86,1.717531047761691,2.9179968405972714,3.436048903315062
A01C,2021,0.8195843721374934,23.237075294456204,16.478811695042598,63,0.7091603175625996,3.187883497752274,2.8609893870837846
A01C,2022,0.9189702815587338,16.478058460392955,16.802851398117706,68,1.0197106314742985,2.860946291998532,2.8793586353743357
A01D,2021,0.9126799884066995,17.792696538932116,16.37954530307852,132,0.9205768932909361,2.933468312385538,2.8552939574166767
A01D,2022,0.8920838536582373,15.766618974887304,18.044430372007565,151,1.1444705044720307,2.8193899439934174,2.9467746899010967
A01F,2021,1.1090445650181668,25.260586683728494,19.2592807944112,80,0.7624241287640793,3.2680692099704207,3.0086129993953366
A01F,2022,1.0624400741932345,20.09888484932855,23.667481793485614,54,1.1775519871330713,3.049220188342648,3.2054858496719127
A01G,2021,0.5875304093166003,11.070871348806122,12.838319192310854,27,1.1596484854550615,2.4907952237884574,2.627441497172125
A01G,2022,0.6087155556853865,7.923085850856934,11.474297541468886,30,1.4482106792049798,2.1886418341713973,2.5236703307510626
A01K,2021,0.6910045712202172,38.04391152423721,37.1259657772713,29,0.9758714151571638,3.6646869492574212,3.6408955664695832
A01K,2022,0.7444515533220497,22.672023813725335,37.057149722992854,36,1.6344879498829283,3.1642939210844476,3.639088970019876
A01M,2021,0.5111069249790783,36.020778893557875,40.299551907117376,17,1.1187862435235885,3.6114793467283905,3.7208516502015274
A01M,2022,0.754734589542289,25.38507715746208,25.4331952445838,15,1.0018955265262046,3.272798591146025,3.2746206159206035
A01N,2021,0.9087105110760345,31.471688101388118,55.560987792789604,46,1.7654276317748263,3.48036857433489,4.035319485947653
A01N,2022,0.9720389667416873,13.795637728937558,18.831322527873482,49,1.3650200808312858,2.6943323892785673,2.9872626335944164
A23L,2021,1.151843666223785,97.33892952568036,102.44660759944651,20,1.0524731276443575,4.588419976483021,4.639055610995055
A23L,2022,1.1303868614805301,38.73845095142287,54.0428496804626,33,1.3950699719054616,3.682319256782238,4.008111967002531
A23V,2021,1.1447764465580625,47.688844284563615,55.04054402000663,18,1.154159737895403,3.88544993371581,4.026075429130584
A23V,2022,1.155865740709334,76.44392146751308,132.82157407362112,12,1.7375034080383651,4.349554080471256,4.8965073759040925
A24B,2021,1.1953118780451828,24.555912587222846,14.038195839534229,26,0.5716829211567852,3.2408687022937572,2.710593353848443
A24B,2022,1.167129976796923,26.78981778698197,13.175258411249608,26,0.49180097139936085,3.3246696869492522,2.651498079518169
A24C,2022,1.1766318094172397,23.856298304168906,14.939878322540592,13,0.626244613982289,3.2131111733129423,2.768824039866221
A24D,2021,1.1249807531069842,35.51307114426887,23.22516458925096,42,0.6539891887947589,3.597670310022709,3.1873919519436757
A24D,2022,1.1194567216190316,25.713538260636057,11.347439367712918,31,0.4413021363568743,3.2851704878594554,2.51344870292963
A24F,2021,0.7857961433576178,30.333939836074364,16.11807065828842,75,0.5313543425414246,3.4447018498850186,2.8401346691695823
A24F,2022,0.7737675613576609,28.77360825094734,14.792760113575852,99,0.5141086228936482,3.393622371947312,2.759551614357997
A41D,2021,0.8583263822532877,43.54113946552121,43.1682674727153,39,0.9914363290124464,3.796413244472823,3.788006600766597
A41D,2022,0.8284520107311708,31.755142849593042,23.45623091951659,47,0.7386592789273877,3.48905998332814,3.196885026787846
A42B,2021,0.9113387958562273,25.04193790492518,23.83773059130112,15,0.9519123752244741,3.2597082348833415,3.2123638918328714
A42B,2022,0.8695041085649585,8.985497063895867,12.600343667866397,15,1.4022979005240732,2.301133746689921,2.6100950621187917
A43B,2021,0.9801156757021247,52.60970720846178,31.48122752797236,169,0.5983919926265794,3.9817301563147725,3.4806623079282293
A43B,2022,0.9965775941437339,34.20825092116441,15.586383054315819,162,0.4556322710049064,3.5612804563058327,2.808582060801263
A43C,2021,0.910464940451986,54.26275025158524,21.77715379871663,30,0.40132786668107423,4.0120990875580365,3.125758007224276
A43C,2022,0.9698217300834651,35.931643221410305,13.188766208832082,27,0.36705157422283974,3.6090687234448495,2.652450539458856
A43D,2021,0.9736321111119086,40.00793768535417,15.611188654409293,10,0.3902022837864029,3.713765650047652,2.810076483642045
A44B,2021,0.5486159039377128,45.63442787830814,33.97745068702052,12,0.744557393764793,3.842339064028268,3.554703587775708
A44B,2022,1.0706659867309885,37.41229005034419,35.86341863773358,13,0.9585999303831346,3.648377461781899,3.607219694488285
